GVIL_CODE,VILLAGE_NM,DIST_NAME,DISTRICT_CODE,PS_NAME,BLOCK_CODE,GP_NAME,GP_CODE
11370,1a,ganganagar,,ganganagar,,,
11371,2a,ganganagar,,ganganagar,,,
11372,4a,ganganagar,,ganganagar,,,
11373,sharkaj nahar khakho,ganganagar,,ganganagar,,,
11374,3a,ganganagar,99,ganganagar,809902,sahuwala (3 f),809902450
11375,1 b,ganganagar,99,ganganagar,809902,sahuwala (3 f),809902450
11376,2 b,ganganagar,99,ganganagar,809902,kotha (2 b),809902320
11377,7b,ganganagar,,ganganagar,,,
11378,sharkaj nahar kotha,ganganagar,99,ganganagar,809902,kotha (2 b),809902320
11379,4 b,ganganagar,99,ganganagar,809902,kotha (2 b),809902320
11380,5 b,ganganagar,99,ganganagar,809902,mohanpura (8 y),809902370
11381,6 b,ganganagar,99,ganganagar,809902,mohanpura (8 y),809902370
11382,8 b,ganganagar,99,ganganagar,809902,mohanpura (8 y),809902370
11383,3 b,ganganagar,99,ganganagar,809902,kotha (2 b),809902320
11384,sharkaj nahar pakki,ganganagar,99,ganganagar,809902,sadhuwali (1 d),809902420
11385,7c ii,ganganagar,99,ganganagar,809902,hindumalkot (7 b),809902250
11386,5 c,ganganagar,99,ganganagar,809902,hindumalkot (7 b),809902250
11387,7c i,ganganagar,99,ganganagar,809902,hindumalkot (7 b),809902250
11388,3 c,ganganagar,99,ganganagar,809902,mohanpura (8 y),809902370
11389,2 c,ganganagar,99,ganganagar,809902,mohanpura (8 y),809902370
11390,8c,ganganagar,99,ganganagar,809902,hindumalkot (7 b),809902250
11391,4 c,ganganagar,99,ganganagar,809902,hindumalkot (7 b),809902250
11392,1 c,ganganagar,,ganganagar,,3 c,
11393,6 c,ganganagar,99,ganganagar,809902,hindumalkot (7 b),809902250
11394,sharkaj nahar baliwala,ganganagar,,ganganagar,,3 c,
11395,4 d,ganganagar,,ganganagar,,3 c,
11396,7d,ganganagar,,ganganagar,,,
11397,5 d,ganganagar,,ganganagar,,,
11398,6 d,ganganagar,,ganganagar,,,
11399,1 d,ganganagar,,ganganagar,,3 c,
11400,sharkaj nahar orki,ganganagar,,ganganagar,,3 c,
11401,3 d,ganganagar,,ganganagar,,dullapur kere (5 d),
11402,2 d,ganganagar,99,ganganagar,809902,orki (4 c),809902390
11403,3 e i,ganganagar,,ganganagar,,dullapur kere (5 d),
11404,8d,ganganagar,,ganganagar,,dullapur kere (5 d),
11405,3 e ii,ganganagar,,ganganagar,,dullapur kere (5 d),
11406,1 e,ganganagar,99,ganganagar,809902,orki (4 c),809902390
11407,2h,ganganagar,,ganganagar,,madenra (7 d),
11408,4h,ganganagar,,ganganagar,,madenra (7 d),
11409,4 e,ganganagar,,ganganagar,,madenra (7 d),
11410,2 e,ganganagar,99,ganganagar,809902,shivpur (1 f),809902470
